"M_AWid","AYear","AType","Mid"
1086,1955,"Golden Globe",8740
1063,1966,"Golden Globe",7342
1094,1971,"Golden Globe",4059
1180,1973,"Golden Globe",6264
1152,1975,"Golden Globe",6310
1096,1982,"Golden Globe",2571
1178,1989,"Golden Globe",4478
1145,1994,"Golden Globe",4796
1165,1994,"Golden Globe",6153
1185,1995,"Golden Globe",4118
1028,2000,"Golden Globe",8342
1124,2000,"Golden Globe",4339
1072,2001,"Golden Globe",8130
1057,2002,"Golden Globe",7638
1169,2003,"Golden Globe",2430
1060,2003,"Golden Globe",3232
1035,2004,"Golden Globe",7469
1038,2010,"Golden Globe",1740
1077,2010,"Golden Globe",2608
1020,2011,"Golden Globe",6902
1027,2014,"Golden Globe",5925
1142,2015,"Golden Globe",2969
1183,2016,"Golden Globe",2341
1189,2016,"Golden Globe",7535
1037,2020,"Golden Globe",5159
1136,1928,"Oscar",5169
1156,1928,"Oscar",3236
1171,1935,"Oscar",8097
1147,1944,"Oscar",3502
1153,1952,"Oscar",6160
1170,1955,"Oscar",8740
1132,1957,"Oscar",4826
1187,1959,"Oscar",4163
1013,1964,"Oscar",2148
1068,1964,"Oscar",8097
1104,1966,"Oscar",7342
1041,1966,"Oscar",9001
1198,1971,"Oscar",4059
1129,1971,"Oscar",9316
1116,1976,"Oscar",5525
1137,1977,"Oscar",8465
1011,1978,"Oscar",3760
1043,1981,"Oscar",4588
1009,1982,"Oscar",7604
1167,1982,"Oscar",2571
1059,1982,"Oscar",9532
1087,1982,"Oscar",8487
1115,1985,"Oscar",2608
1135,1986,"Oscar",4639
1190,1989,"Oscar",7821
1164,1990,"Oscar",7237
1128,1990,"Oscar",3500
1053,1990,"Oscar",7251
1033,1991,"Oscar",5254
1099,1994,"Oscar",4796
1117,1994,"Oscar",6153
1026,1995,"Oscar",5391
1070,1997,"Oscar",6722
1042,1999,"Oscar",8102
1045,2000,"Oscar",8342
1017,2000,"Oscar",4339
1098,2001,"Oscar",3572
1075,2002,"Oscar",1665
1161,2002,"Oscar",4332
1110,2003,"Oscar",6252
1082,2003,"Oscar",2430
1019,2004,"Oscar",7469
1095,2005,"Oscar",3196
1166,2005,"Oscar",3726
1196,2005,"Oscar",8602
1148,2006,"Oscar",2372
1102,2006,"Oscar",5622
1040,2007,"Oscar",5168
1092,2007,"Oscar",4207
1008,2007,"Oscar",8790
1018,2008,"Oscar",8884
1120,2009,"Oscar",1854
1143,2010,"Oscar",2608
1051,2011,"Oscar",3970
1103,2011,"Oscar",3575
1131,2012,"Oscar",3510
1125,2012,"Oscar",8367
1173,2013,"Oscar",1642
1186,2013,"Oscar",5382
1097,2013,"Oscar",3045
1039,2014,"Oscar",1640
1065,2014,"Oscar",6443
1188,2014,"Oscar",4357
1163,2014,"Oscar",6567
1029,2016,"Oscar",8892
1195,2016,"Oscar",7535
1146,2017,"Oscar",6634
1010,2017,"Oscar",3068
1154,2018,"Oscar",2059
1024,2018,"Oscar",5173
1055,2019,"Oscar",2203
1177,2019,"Oscar",4669
1000,2019,"Oscar",8762
1134,2019,"Oscar",8881
1005,2019,"Oscar",8176
1058,2020,"Oscar",7433
1126,2020,"Oscar",5159
