"TVid","TVGenre","TVName","PYear","Did","Views","Rid"
1323,"Crime TV Shows","Criminal: Spain",2019,"3254",10878639,1490
1166,"International TV Shows","The Hockey Girls",2019,"7858",845346,1648
1128,"British TV Shows","The Five",2016,"2832",13979621,1329
1298,"Crime TV Shows","Age of Rebellion",2018,"4796",16655831,1367
1269,"Crime TV Shows","Nowhere Man",2019,"8238",15216188,1459
1186,"International TV Shows","Bring It On, Ghost",2016,"2526",19241850,1438
1306,"Crime TV Shows","Black Money Love",2014,"5482",17897402,1583
1084,"Docuseries","FIGHTWORLD",2018,"4877",4852953,1437
1276,"British TV Shows","The Blue Planet: A Natural History of the Oceans",2001,"1825",8609754,1422
1361,"International TV Shows","Cheese in the Trap",2016,"4599",14802312,1510
1329,"International TV Shows","Old Money",2015,"7041",12999626,1722
1262,"International TV Shows","Akulah Balqis",2015,"4890",16373235,1343
1328,"TV Shows","Bright: The Music Videos",2017,"2648",1062832,1270
1078,"Docuseries","Oliver Stone's Untold History of the United States",2013,"3041",5409609,1142
1212,"Crime TV Shows","Crime Diaries: Night Out",2019,"1949",14678816,1937
1036,"Anime Series","A.I.C.O.",2018,"7235",14791788,1454
1104,"Kids' TV","Maggie & Bianca: Fashion Friends",2017,"7412",7956303,1998
1216,"TV Comedies","Trailer Park Boys: The Animated Series",2019,"5330",2003511,1929
1365,"Kids' TV","Th Eena Meena Deeka Chase Comedy Show",2015,"6037",3800779,1535
1164,"Docuseries","Five Came Back",2017,"3193",12284424,1524
1289,"British TV Shows","London Spy",2015,"4263",5166935,1350
1391,"British TV Shows","The Fear",2012,"1664",18189777,1391
1088,"Crime TV Shows","Jack Taylor",2016,"5489",14962599,1621
1288,"Crime TV Shows","Bitter Daisies",2018,"3857",18847798,1774
1339,"British TV Shows","James Acaster: Repertoire",2018,"9703",16037986,1230
1325,"Stand-Up Comedy & Talk Shows","Dave Chappelle",2017,"9819",3684322,1666
1390,"International TV Shows","The Chosen One",2019,"5343",16209682,1341
1041,"International TV Shows","Bolívar",2019,"9595",7016076,1337
1110,"Crime TV Shows","Man to Man",2017,"1364",10335401,1796
1019,"International TV Shows","Mr. Sunshine",2018,"1490",7433147,1284
1043,"TV Shows","7 (Seven)",2019,"9939",18755151,1888
1342,"Stand-Up Comedy & Talk Shows","Ari Shaffir: Double Negative",2017,"9124",18181976,1603
1069,"International TV Shows","Gonul",2015,"8630",16182470,1049
1120,"International TV Shows","46",2016,"6041",19312473,1876
1039,"Anime Series","Devilman Crybaby",2018,"6199",15349523,1665
1171,"British TV Shows","Frozen Planet",2011,"1825",6069957,1100
1024,"International TV Shows","Kingdom",2019,"6600",19834845,1889
1247,"Crime TV Shows","Innocent",2017,"2489",10653076,1032
1197,"Crime TV Shows","Justice",2018,"3557",8113098,1646
1038,"TV Shows","Godzilla",2017,"5185",11871521,1966
1297,"Crime TV Shows","La Viuda Negra",2016,"5832",4909346,1945
1279,"Crime TV Shows","Jamtara - Sabka Number Ayega",2020,"7005",13254413,1669
1159,"Docuseries","Ken Burns: The Civil War",1990,"4280",7674672,1323
1013,"Crime TV Shows","Brave Miss World",2013,"3172",6207658,1092
1129,"International TV Shows","Hjørdis",2015,"5849",9572585,1113
1044,"TV Shows","Metallica: Some Kind of Monster",2014,"8306",1479636,1599
1021,"Kids' TV","Lego Friends: Girls on a Mission",2018,"6635",8265497,1306
1205,"British TV Shows","Revolting Rhymes",2017,"5762",8933027,1693
1229,"Crime TV Shows","Camelia la Texana",2014,"5322",16140663,1753
1192,"International TV Shows","Pine Gap",2018,"9218",9195315,1287
1103,"Stand-Up Comedy & Talk Shows","Dave Chappelle: Equanimity & The Bird Revelation",2017,"9819",2776803,1266
1375,"Kids' TV","Geronimo Stilton",2011,"5879",4222083,1334
1254,"Crime TV Shows","You",2018,"7331",11550255,1416
1349,"British TV Shows","Watership Down",2018,"2768",11267995,1986
1350,"British TV Shows","Myths & Monsters",2017,"2279",4192005,1969
1102,"Stand-Up Comedy & Talk Shows","Ellen DeGeneres: Relatable",2018,"5357",9464818,1346
1330,"International TV Shows","Crazy, Lovely, Cool",2018,"2013",5550177,1041
1012,"Anime Series","Girls und Panzer",2012,"2596",7554844,1333
1295,"International TV Shows","Sadqay Tumhare",2014,"4009",19455569,1012
1383,"Kids' TV","Oggy and the Cockroaches",2017,"7759",6142405,1948
1175,"Docuseries","The Family",2019,"7044",18177691,1360
1278,"International TV Shows","Reply 1994",2014,"9379",16467605,1728
1109,"International TV Shows","Reply 1997",2012,"9379",8628343,1711
1083,"British TV Shows","Jonathan Strange & Mr Norrell",2015,"4517",12882558,1655
1028,"International TV Shows","GHOUL",2018,"8834",14848875,1372
1140,"International TV Shows","Take My Brother Away",2018,"3064",18672722,1025
1251,"International TV Shows","Til Death Do Us Part",2019,"3765",12397919,1856
1220,"International TV Shows","Exclusive Edition",2008,"1848",7921412,1208
1107,"Docuseries","Bobby Kennedy for President",2018,"6491",7146917,1047
1303,"TV Shows","The Hateful Eight: Extended Version",2015,"8628",14997751,1662
1032,"British TV Shows","Planet Earth: The Complete Collection",2006,"1825",18563516,1526
1355,"International TV Shows","Persona",2019,"2164",10055084,1877
1148,"Anime Series","Ouran High School Host Club",2006,"7171",12636214,1982
1286,"TV Dramas","Once Upon a Time",2018,"9614",12179278,1481
1101,"Crime TV Shows","Gotham",2019,"1362",8503697,1316
1144,"Anime Series","Naruto",2008,"7659",5058368,1131
1117,"British TV Shows","Toast of London",2015,"7270",2946409,1738
1331,"TV Horror","Hemlock Grove",2015,"9894",6934430,1269
1106,"Anime Series","Glitter Force Doki Doki",2017,"1846",4744768,1034
1063,"Docuseries","Mars",2018,"8320",14535165,1265
1223,"Classic & Cult TV","Supernatural",2019,"6560",14476895,1073
1345,"TV Action & Adventure","DC's Legends of Tomorrow",2018,"6273",16499204,1569
1315,"TV Action & Adventure","Supergirl",2019,"4158",8134303,1678
1050,"Crime TV Shows","Riverdale",2019,"6273",8951898,1911
1333,"Crime TV Shows","The Flash",2019,"5916",11543500,1988
1380,"International TV Shows","Velvet",2016,"5509",19082382,1542
1137,"Crime TV Shows","Arrow",2019,"3408",6796881,1905
1398,"TV Comedies","Royal Pains",2016,"5153",8486732,1965
1397,"British TV Shows","Call the Midwife",2018,"6699",17850090,1434
1281,"British TV Shows","Father Brown",2017,"3669",17730006,1436
1142,"British TV Shows","Hoff the Record",2016,"6593",2268744,1612
1284,"Kids' TV","World of Winx",2017,"7412",19300321,1620
1169,"International TV Shows","Degrassi: Next Class",2017,"1024",8504501,1038
1047,"Anime Series","Kuromukuro",2016,"3775",5391365,1629
1203,"Stand-Up Comedy & Talk Shows","Comedians in Cars Getting Coffee",2019,"5453",15934771,1088
1294,"Kids' TV","The Cat in the Hat Knows a Lot About That!",2014,"8470",8303982,1529
1023,"Anime Series","Fullmetal Alchemist: Brotherhood",2010,"4335",2484164,1898
1180,"British TV Shows","Merlin",2012,"6681",1247356,1553
1213,"International TV Shows","Abnormal Summit",2017,"5770",8974771,1393
1369,"British TV Shows","The Great British Baking Show",2019,"7046",14048556,1253
1224,"Kids' TV","Miraculous: Tales of Ladybug & Cat Noir",2018,"5334",5539537,1191
1162,"Crime TV Shows","Sacred Games",2019,"6826",19871817,1760
1042,"International TV Shows","Men on a Mission",2019,"5770",5396225,1846
1000,"International TV Shows","Leyla and Mecnun",2014,"1418",7723404,1460
